MIN=0	-0.1	-0.3
MAX=10	0.1	0.3
SCALE=10	0.05	0.1
DEC=1	4	4
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	0.0025	-0.0063
0.09	0.00235	-0.0078
0.2	0.00245	-0.009
0.29	0.0024	-0.0045
0.4	0.0024	-0.01095
0.5	0.0025	-0.00525
0.59	0.0024	-0.00585
0.7	0.0024	-0.00915
0.8	0.00235	-0.00495
0.9	0.0063	-0.0219
1	0.01115	-0.02925
1.09	0.01445	-0.0396
1.2	0.0163	-0.04545
1.29	0.0188	-0.04815
1.4	0.02125	-0.0606
1.5	0.0256	-0.0669
1.59	0.03285	-0.0876
1.7	0.03305	-0.0885
1.79	0.033	-0.08535
1.9	0.03305	-0.09075
2	0.0318	-0.08235
2.09	0.02655	-0.07185
2.2	0.02225	-0.06015
2.29	0.0167	-0.04215
2.4	0.01215	-0.03525
2.5	0.00965	-0.024
2.59	0.0049	-0.01395
2.7	0.00245	-0.0078
2.79	0.00235	-0.00555
2.9	0.0024	-0.0111
3	0.0078	-0.01965
3.11	0.01615	-0.04545
3.2	0.01825	-0.04935
3.29	0.0205	-0.05265
3.4	0.02395	-0.06735
3.5	0.02655	-0.06945
3.61	0.0302	-0.08355
3.7	0.03305	-0.0885
3.79	0.033	-0.0855
3.9	0.03195	-0.0861
4	0.02815	-0.07185
4.11	0.0248	-0.0687
4.2	0.019	-0.0516
4.29	0.0136	-0.03435
4.4	0.0091	-0.02625
4.5	0.0033	-0.0057
4.61	0.0024	-0.0096
4.7	0.0024	-0.0084
4.79	0.004	-0.0117
4.9	0.01585	-0.0465
5	0.0209	-0.05295
5.11	0.0247	-0.06915
5.2	0.0263	-0.0711
5.29	0.03055	-0.0807
5.4	0.03295	-0.09015
5.5	0.033	-0.08445
5.61	0.03225	-0.0876
5.7	0.027	-0.0705
5.79	0.02025	-0.05025
5.9	0.01395	-0.0393
6	0.0078	-0.01875
6.09	0.00235	-0.0096
6.2	0.00245	-0.00705
6.29	0.0024	-0.0069
6.4	0.0025	-0.0099
6.5	0.01265	-0.0327
6.61	0.0215	-0.0618
6.7	0.02805	-0.0738
6.79	0.03175	-0.08445
6.9	0.03315	-0.08955
7	0.03305	-0.08505
7.11	0.03305	-0.09
7.2	0.03305	-0.0861
7.29	0.03285	-0.08475
7.4	0.028	-0.07575
7.5	0.0263	-0.06735
7.61	0.0231	-0.06405
7.7	0.01845	-0.04755
7.79	0.0144	-0.0375
7.9	0.0101	-0.0288
8	0.0066	-0.01605
8.11	0.0024	-0.0111
8.2	0.00245	-0.0054
8.29	0.0024	-0.00735
8.4	0.00245	-0.00945
8.5	0.00235	-0.00525
8.61	0.00235	-0.01095
8.7	0.0024	-0.0051
8.79	0.0024	-0.00675
